ID	origin	origin_struct	transformed	label
9819429	The	. The	. Ull	0
9819429	fusion	e fusion	l llllll	0
9819429	gene	n gene	l llll	0
9819429	CBFB-MYH11	e CBFB-MYH11	l UUUU-UUUdd	0
9819429	is	1 is	d ll	0
9819429	generated	s generated	l lllllllll	0
9819429	by	d by	l ll	0
9819429	the	y the	l lll	0
9819429	chromosome	e chromosome	l llllllllll	0
9819429	16	e 16	l dd	0
9819429	inversion	6 inversion	d lllllllll	0
9819429	associated	n associated	l llllllllll	0
9819429	with	d with	l llll	0
9819429	acute	h acute	l lllll	0
9819429	myeloid	e myeloid	l lllllll	0
9819429	leukemias.	d leukemias.	l lllllllll.	0
9819429	This	. This	. Ulll	0
9819429	gene	s gene	l llll	0
9819429	encodes	e encodes	l lllllll	0
9819429	a	s a	l l	0
9819429	chimeric	a chimeric	l llllllll	0
9819429	protein	c protein	l lllllll	0
9819429	involving	n involving	l lllllllll	0
9819429	the	g the	l lll	0
9819429	core	e core	l llll	0
9819429	binding	e binding	l lllllll	0
9819429	factor	g factor	l llllll	0
9819429	beta	r beta	l llll	0
9819429	(CBFbeta)	a (CBFbeta)	l (UUUllll)	1
9819429	and	) and	) lll	0
9819429	the	d the	l lll	0
9819429	smooth-muscle	e smooth-muscle	l llllll-llllll	0
9819429	myosin	e myosin	l llllll	0
9819429	heavy	n heavy	l lllll	0
9819429	chain	y chain	l lllll	0
9819429	(SMMHC).	n (SMMHC).	l (UUUUU).	1
9819429	Mouse	. Mouse	. Ullll	0
9819429	model	e model	l lllll	0
9819429	studies	l studies	l lllllll	0
9819429	suggest	s suggest	l lllllll	0
9819429	that	t that	l llll	0
9819429	this	t this	l llll	0
9819429	chimeric	s chimeric	l llllllll	0
9819429	protein	c protein	l lllllll	0
9819429	CBFbeta-SMMHC	n CBFbeta-SMMHC	l UUUllll-UUUUU	0
9819429	dominantly	C dominantly	U llllllllll	0
9819429	suppresses	y suppresses	l llllllllll	0
9819429	the	s the	l lll	0
9819429	function	e function	l llllllll	0
9819429	of	n of	l ll	0
9819429	CBF,	f CBF,	l UUU,	1
9819429	a	, a	, l	0
9819429	heterodimeric	a heterodimeric	l lllllllllllll	0
9819429	transcription	c transcription	l lllllllllllll	0
9819429	factor	n factor	l llllll	0
