id	word	extended word	transformed	label
9674429	The	, The U	, Ull U	False
10788491	fusion	r fusion w	l llllll l	False
10805787	gene	d gene a	l llll l	False
9819429	CBFB-MYH11	e CBFB-MYH11 i	l UUUU-UUUdd l	True
10805787	is	n is m	l ll l	False
10801811	generated	t generated b	l lllllllll l	False
10805787	by	1 by P	d ll U	False
9564032	the	d the D	l lll U	False
10801860	chromosome	n chromosome 1	l llllllllll d	False
10773092	16	d 16 f	l dd l	False
10053005	inversion	d inversion o	l lllllllll l	False
10799540	associated	s associated w	l llllllllll l	False
10805787	with	1 with t	d llll l	False
10749885	acute	, acute r	, lllll l	False
10799849	myeloid	n myeloid c	l lllllll l	False
10321731	leukemias.	2 leukemias. T	d lllllllll. U	False
10805771	This	. This e	. Ulll l	False
10802655	encodes	, encodes A	, lllllll U	False
9826507	a	e a l	l l l	False
10799545	chimeric	e chimeric p	l llllllll l	False
10805787	protein	e protein i	l lllllll l	False
10777483	involving	n involving c	l lllllllll l	False
10725331	core	m core p	l llll l	False
10805771	binding	t binding t	l lllllll l	False
10805756	factor	n factor r	l llllll l	False
10801330	beta	b beta 3	l llll d	False
10207104	(CBFbeta)	a (CBFbeta) t	l (UUUllll) l	True
9575217	and	y and G	l lll U	False
9819429	smooth-muscle	e smooth-muscle m	l llllll-llllll l	False
10552926	myosin	r myosin X	l llllll U	False
10799513	heavy	2 heavy c	d lllll l	False
10801860	chain	e chain o	l lllll l	False
9819429	(SMMHC).	n (SMMHC). M	l (UUUUU). U	True
10625552	Mouse	. Mouse a	. Ullll l	False
10801330	model	e model s	l lllll l	False
10801811	studies	, studies w	, lllllll l	False
10805771	suggest	y suggest b	l lllllll l	False
10805787	that	d that P	l llll U	False
10805771	this	, this s	, llll l	False
9819429	CBFbeta-SMMHC	t CBFbeta-SMMHC p	l UUUllll-UUUUU l	False
10802664	dominantly	, dominantly i	, llllllllll l	False
10719363	suppresses	h suppresses g	l llllllllll l	False
10802669	function	y function i	l llllllll l	False
9630597	of	t of B	l ll U	False
15243141	CBF,	, CBF, i	, UUU, l	True
10734121	heterodimeric	e heterodimeric c	l lllllllllllll l	False
10805787	transcription	f transcription (	l lllllllllllll (	False
10792058	composed	e composed o	l llllllll l	False
10805771	DNA	d DNA s	l UUU l	True
10801849	subunits	9 subunits o	d llllllll l	False
9819429	(CBFalpha1	s (CBFalpha1 t	l (UUUllllld l	True
10805787	to	d to i	l ll l	False
10383417	3)	y 3) d	l d) l	False
9819429	non-DNA	a non-DNA b	l lll-UUU l	True
10805756	subunit	c subunit o	l lllllll l	False
9819429	(CBFbeta).	t (CBFbeta). T	l (UUUllll). U	True
10801775	dominant	f dominant n	l llllllll l	False
10801330	suppression	n suppression o	l lllllllllll l	False
10805787	results	h results i	l lllllll l	False
9755179	in	m in M	l ll U	False
10801330	blockage	d blockage o	l llllllll l	False
10777664	hematopoiesis	n hematopoiesis a	l lllllllllllll l	False
10632593	mice	f mice l	l llll l	False
10749568	presumably	, presumably b	, llllllllll l	False
10749885	contributes	y contributes t	l lllllllllll l	False
10552935	leukemogenesis.	n leukemogenesis. R	l llllllllllllll. U	False
10805787	We	. We r	. Ul l	False
10805756	used	e used a	l llll l	False
9819429	transient-transfection	d transient-transfection a	l lllllllll-llllllllllll l	False
10799517	assays,	y assays, a	l llllll, l	False
10788493	combination	e combination o	l lllllllllll l	False
10770959	immunofluorescence	d immunofluorescence m	l llllllllllllllllll l	False
10719363	green	s green f	l lllll l	False
10719363	fluorescent	n fluorescent p	l lllllllllll l	False
9819429	protein-tagged	t protein-tagged p	l lllllll-llllll l	False
10802661	proteins,	f proteins, s	l llllllll, l	False
9346876	monitor	o monitor G	l lllllll U	False
10770959	subcellular	d subcellular e	l lllllllllll l	False
10770959	localization	l localization o	l llllllllllll l	False
9819429	CBFbeta-SMMHC,	f CBFbeta-SMMHC, C	l UUUllll-UUUUU, U	False
9819429	CBFbeta,	, CBFbeta, a	, UUUllll, l	True
9819429	CBFalpha2	g CBFalpha2 i	l UUUllllld l	True
10749885	(also	3 (also c	d (llll l	False
10802661	known	l known g	l lllll l	False
10805787	as	s as a	l ll l	False
8643684	AML1	r AML1 i	l UUUd l	True
10805787	or	d or -	l ll -	False
9819429	PEBP2alphaB).	r PEBP2alphaB). W	l UUUUdlllllU). U	False
10801811	When	. When H	. Ulll U	False
10802664	expressed	y expressed i	l lllllllll l	False
9819429	individually,	d individually, C	l llllllllllll, U	False
10805756	was	1 was p	d lll l	False
10801814	located	s located b	l lllllll l	False
10725330	nuclei	e nuclei t	l llllll l	False
10805756	transfected	y transfected S	l lllllllllll U	False
10801811	cells,	0 cells, i	d lllll, l	False
10805787	whereas	, whereas t	, lllllll l	False
9819429	CBFbeta	f CBFbeta i	l UUUllll l	True
10671520	distributed	y distributed t	l lllllllllll l	False
10788476	throughout	r throughout t	l llllllllll l	False
10570961	cell.	e cell. H	l llll. U	False
10775527	On	. On t	. Ul l	False
10805771	other	o other b	l lllll l	False
10623590	hand,	r hand, t	l llll, l	False
10792058	formed	s formed b	l llllll l	False
9819429	filament-like	d filament-like s	l llllllll-llll l	False
10805771	structures	A structures a	U llllllllll l	False
10760273	colocalized	1 colocalized i	d lllllllllll l	False
10801330	actin	n actin p	l lllll l	False
10519557	filaments.	n filaments. C	l lllllllll. U	False
11278941	Upon	e Upon T	l Ulll U	False
9819429	cotransfection,	n cotransfection, C	l llllllllllllll, U	False
10777582	able	s able t	l llll l	False
10448864	drive	o drive h	l lllll l	False
10805771	into	s into t	l llll l	False
10800960	nucleus	e nucleus a	l lllllll l	False
10764746	dose-dependent	a dose-dependent m	l llll-lllllllll l	False
10770953	manner.	t manner. M	l llllll. U	False
10805787	In	. In a	. Ul l	False
10801811	contrast,	n contrast, s	l llllllll, l	False
10570961	along	d along w	l lllll l	False
10801330	filaments	n filaments a	l lllllllll l	False
10777483	instead	y instead c	l lllllll l	False
10770959	localizing	e localizing t	l llllllllll l	False
10742099	nucleus.	e nucleus. M	l lllllll. U	False
10777494	Deletion	. Deletion o	. Ulllllll l	False
9819429	CBFalpha-interacting	e CBFalpha-interacting d	l UUUlllll-lllllllllll l	False
10805787	domain	l domain o	l llllll l	False
10805756	within	s within S	l llllll U	False
10799503	abolished	s abolished b	l lllllllll l	False
9819429	sequestration,	2 sequestration, w	d lllllllllllll, l	False
10802661	truncation	n truncation a	l llllllllll l	False
9819429	C-terminal-end	e C-terminal-end S	l U-llllllll-lll U	False
9819429	SMMHC	d SMMHC d	l UUUUU l	True
10644768	led	e led t	l lll l	False
