id	word	extended word	transformed	label
9674429	The	, The	, Ull	False
10788491	fusion	r fusion	l llllll	False
10805787	gene	d gene	l llll	False
9819429	CBFB-MYH11	e CBFB-MYH11	l UUUU-UUUdd	True
10805787	is	n is	l ll	False
10801811	generated	t generated	l lllllllll	False
10805787	by	1 by	d ll	False
9564032	the	d the	l lll	False
10801860	chromosome	n chromosome	l llllllllll	False
10773092	16	d 16	l dd	False
10053005	inversion	d inversion	l lllllllll	False
10799540	associated	s associated	l llllllllll	False
10805787	with	1 with	d llll	False
10749885	acute	, acute	, lllll	False
10799849	myeloid	n myeloid	l lllllll	False
10321731	leukemias.	2 leukemias.	d lllllllll.	False
10805771	This	. This	. Ulll	False
10802655	encodes	, encodes	, lllllll	False
9826507	a	e a	l l	False
10799545	chimeric	e chimeric	l llllllll	False
10805787	protein	e protein	l lllllll	False
10777483	involving	n involving	l lllllllll	False
10725331	core	m core	l llll	False
10805771	binding	t binding	l lllllll	False
10805756	factor	n factor	l llllll	False
10801330	beta	b beta	l llll	False
10207104	(CBFbeta)	a (CBFbeta)	l (UUUllll)	True
9575217	and	y and	l lll	False
9819429	smooth-muscle	e smooth-muscle	l llllll-llllll	False
10552926	myosin	r myosin	l llllll	False
10799513	heavy	2 heavy	d lllll	False
10801860	chain	e chain	l lllll	False
9819429	(SMMHC).	n (SMMHC).	l (UUUUU).	True
10625552	Mouse	. Mouse	. Ullll	False
10801330	model	e model	l lllll	False
10801811	studies	, studies	, lllllll	False
10805771	suggest	y suggest	l lllllll	False
10805787	that	d that	l llll	False
10805771	this	, this	, llll	False
9819429	CBFbeta-SMMHC	t CBFbeta-SMMHC	l UUUllll-UUUUU	False
10802664	dominantly	, dominantly	, llllllllll	False
10719363	suppresses	h suppresses	l llllllllll	False
10802669	function	y function	l llllllll	False
9630597	of	t of	l ll	False
15243141	CBF,	, CBF,	, UUU,	True
10734121	heterodimeric	e heterodimeric	l lllllllllllll	False
10805787	transcription	f transcription	l lllllllllllll	False
10792058	composed	e composed	l llllllll	False
10805771	DNA	d DNA	l UUU	True
10801849	subunits	9 subunits	d llllllll	False
9819429	(CBFalpha1	s (CBFalpha1	l (UUUllllld	True
10805787	to	d to	l ll	False
10383417	3)	y 3)	l d)	False
9819429	non-DNA	a non-DNA	l lll-UUU	True
10805756	subunit	c subunit	l lllllll	False
9819429	(CBFbeta).	t (CBFbeta).	l (UUUllll).	True
